#META: VIDEO=Videos\MVI_1635.mp4, ROI=(659, 0, 130, 749), TIMESTAMP=20260113_182711
#OUTLIERS:
trajectory_id,point_index,frame_num,x,y
9,13,10056,718,275
9,14,10057,721,297
9,15,10058,719,318
9,16,10059,718,345
9,17,10060,720,368
9,18,10061,720,391
9,19,10062,722,415
9,20,10063,721,440
9,21,10064,722,465
9,22,10065,723,492
9,23,10066,723,518
9,24,10067,723,543
9,25,10068,725,571
9,26,10069,727,597
9,27,10070,726,624
9,28,10071,727,653
9,29,10072,727,681
9,30,10073,725,710
10,0,10748,708,40
10,1,10749,708,58
10,2,10750,708,72
10,3,10751,706,92
10,4,10752,706,110
10,5,10753,708,127
10,6,10754,708,147
10,7,10755,710,166
10,8,10756,710,188
10,9,10757,712,210
10,10,10758,714,230
10,11,10759,714,246
10,12,10760,710,273
10,13,10761,711,296
10,14,10762,711,317
10,15,10763,709,343
10,16,10764,708,366
10,17,10765,710,390
10,18,10766,710,415
10,19,10767,709,441
10,20,10768,710,467
10,21,10769,712,493
10,22,10770,712,519
10,23,10771,712,545
10,24,10772,713,572
10,25,10773,713,599
10,26,10774,712,626
10,27,10775,714,654
10,28,10776,715,682
10,29,10777,716,711
11,0,11097,714,35
11,1,11098,714,51
11,2,11099,717,68
11,3,11100,718,84
11,4,11101,715,102
11,5,11102,717,120
11,6,11103,720,139
11,7,11104,721,159
11,8,11105,724,181
11,9,11106,724,200
11,10,11107,727,222
11,11,11108,724,242
11,12,11109,725,259
11,13,11110,726,286
11,14,11111,726,308
11,15,11112,729,333
11,16,11113,729,354
11,17,11114,730,381
11,18,11115,729,404
11,19,11116,727,428
11,20,11117,728,452
11,21,11118,729,478
11,22,11119,730,504
11,23,11120,731,531
11,24,11121,731,556
11,25,11122,730,582
11,26,11123,732,611
11,27,11124,731,638
11,28,11125,732,666
11,29,11126,732,694
11,30,11127,737,724
12,0,11456,714,24
12,1,11457,715,42
12,2,11458,715,58
12,3,11459,713,74
12,4,11460,712,93
12,5,11461,711,110
12,6,11462,712,127
12,7,11463,713,147
12,8,11464,713,167
12,9,11465,713,189
12,10,11466,715,211
12,11,11467,714,233
12,12,11468,714,251
12,13,11469,710,274
12,14,11470,712,297
12,15,11471,711,319
12,16,11472,709,345
12,17,11473,709,369
12,18,11474,710,393
12,19,11475,711,418
12,20,11476,710,443
12,21,11477,710,467
12,22,11478,711,493
12,23,11479,711,520
12,24,11480,711,546
12,25,11481,713,573
12,26,11482,713,600
12,27,11483,714,629
12,28,11484,714,657
12,29,11485,715,686
12,30,11486,715,715
13,0,11997,715,35
13,1,11998,715,49
13,2,11999,716,66
13,3,12002,714,118
13,4,12003,716,135
13,5,12004,715,157
13,6,12005,715,176
13,7,12006,717,198
13,8,12007,720,218
13,9,12008,719,238
13,10,12009,719,255
13,11,12010,718,281
13,12,12011,719,303
13,13,12012,718,326
13,14,12013,719,349
13,15,12014,718,373
13,16,12015,720,397
13,17,12016,721,422
13,18,12017,721,447
13,19,12018,721,472
13,20,12019,723,498
13,21,12020,723,524
13,22,12021,717,548
13,23,12022,724,577
13,24,12023,724,605
13,25,12024,724,632
13,26,12025,725,660
13,27,12026,726,688
13,28,12027,726,717
14,0,12479,714,35
14,1,12480,717,52
14,2,12481,715,68
14,3,12482,714,87
14,4,12483,711,105
14,5,12484,712,122
14,6,12485,714,141
14,7,12486,713,160
14,8,12487,713,181
14,9,12488,714,202
14,10,12489,712,224
14,11,12490,713,244
14,12,12491,712,262
14,13,12492,711,288
14,14,12493,711,311
14,15,12494,709,335
14,16,12495,710,357
14,17,12496,710,382
14,18,12497,709,406
14,19,12498,709,431
14,20,12499,709,456
14,21,12500,711,482
14,22,12501,712,508
14,23,12502,712,535
14,24,12503,711,561
14,25,12504,713,588
14,26,12505,712,616
14,27,12506,713,643
14,28,12507,713,671
14,29,12508,713,700
15,0,12870,725,24
15,1,12871,723,40
15,2,12872,723,55
15,3,12873,724,71
15,4,12874,723,88
15,5,12875,722,106
15,6,12876,722,124
15,7,12877,723,144
15,8,12878,720,164
15,9,12879,722,184
15,10,12880,720,205
15,11,12881,720,228
15,12,12882,718,244
15,13,12883,717,262
15,14,12884,715,292
15,15,12885,713,312
15,16,12886,711,337
15,17,12887,710,359
15,18,12888,708,385
15,19,12889,707,408
15,20,12890,709,432
15,21,12891,708,457
15,22,12892,707,483
15,23,12893,707,509
15,24,12894,707,536
15,25,12895,706,562
15,26,12896,706,589
15,27,12897,706,616
15,28,12898,704,644
15,29,12899,706,671
15,30,12900,706,700
16,0,13210,708,50
16,1,13211,707,64
16,2,13212,706,81
16,3,13213,705,99
16,4,13214,707,118
16,5,13215,708,136
16,6,13216,710,156
16,7,13217,711,174
16,8,13218,712,194
16,9,13219,713,220
16,10,13220,714,238
16,11,13221,715,257
16,12,13222,715,281
16,13,13223,712,305
16,14,13224,714,328
16,15,13225,713,352
16,16,13226,713,374
16,17,13227,717,398
16,18,13228,718,424
16,19,13229,717,448
16,20,13230,719,473
16,21,13231,720,499
16,22,13232,721,524
16,23,13233,721,551
16,24,13234,722,578
16,25,13235,724,605
16,26,13236,724,633
16,27,13237,724,662
16,28,13238,725,689
16,29,13239,726,717
17,0,13565,706,22
17,1,13566,709,40
17,2,13567,710,55
17,3,13568,710,72
17,4,13569,707,90
17,5,13570,707,107
17,6,13571,709,125
17,7,13572,711,144
17,8,13573,712,164
17,9,13574,713,186
17,10,13575,715,208
17,11,13576,716,229
17,12,13577,716,248
17,13,13578,713,267
17,14,13579,716,293
17,15,13580,715,314
17,16,13581,715,338
17,17,13582,714,361
17,18,13583,715,386
17,19,13584,718,410
17,20,13585,717,435
17,21,13586,718,461
17,22,13587,720,487
17,23,13588,721,512
17,24,13589,721,539
17,25,13590,721,566
17,26,13591,722,593
17,27,13592,722,621
17,28,13593,721,649
17,29,13594,723,677
17,30,13595,723,705
18,0,14067,709,28
18,1,14068,708,44
18,2,14069,709,61
18,3,14070,710,77
18,4,14071,709,94
18,5,14072,708,110
18,6,14073,707,130
18,7,14074,708,149
18,8,14075,708,168
18,9,14076,709,188
18,10,14077,710,211
18,11,14078,711,233
18,12,14079,710,253
18,13,14080,709,275
18,14,14081,710,298
18,15,14082,709,318
18,16,14083,710,343
18,17,14084,710,367
18,18,14085,711,391
18,19,14086,711,416
18,20,14087,710,440
18,21,14088,712,465
18,22,14089,713,492
18,23,14090,714,518
18,24,14091,715,545
18,25,14092,715,571
18,26,14093,716,599
18,27,14094,716,626
18,28,14095,717,655
18,29,14096,719,683
18,30,14097,719,711
19,0,14428,717,35
19,1,14429,716,51
19,2,14430,715,66
19,3,14431,715,84
19,4,14432,712,102
19,5,14433,715,119
19,6,14434,717,138
19,7,14435,717,158
19,8,14436,719,180
19,9,14437,717,199
19,10,14438,720,223
19,11,14439,720,240
19,12,14440,719,260
19,13,14441,718,286
19,14,14442,718,306
19,15,14443,717,331
19,16,14444,717,354
19,17,14445,715,377
19,18,14446,717,403
19,19,14447,716,427
19,20,14448,718,451
19,21,14449,718,478
19,22,14450,718,504
19,23,14451,719,531
19,24,14452,718,557
19,25,14453,719,584
19,26,14454,719,612
19,27,14455,719,640
19,28,14456,720,668
19,29,14457,720,696
20,0,14929,714,25
20,1,14930,714,43
20,2,14931,715,56
20,3,14932,715,71
20,4,14933,714,92
20,5,14934,715,106
20,6,14935,719,122
20,7,14936,720,140
20,8,14937,719,160
20,9,14938,721,178
20,10,14939,721,198
20,11,14940,723,220
20,12,14941,724,239
20,13,14942,723,256
20,14,14943,723,280
20,15,14944,724,304
20,16,14945,723,326
20,17,14946,723,348
20,18,14947,726,370
20,19,14948,728,394
20,20,14949,727,417
20,21,14950,728,442
20,22,14951,728,466
20,23,14952,730,492
20,24,14953,731,517
20,25,14954,730,543
20,26,14955,731,569
20,27,14956,732,596
20,28,14957,731,622
20,29,14958,731,651
20,30,14959,732,677
20,31,14960,733,705
21,0,15414,713,27
21,1,15415,714,45
21,2,15416,714,61
21,3,15417,715,74
21,4,15418,712,97
21,5,15419,715,112
21,6,15420,714,130
21,7,15421,714,151
21,8,15422,714,170
21,9,15423,715,190
21,10,15424,717,213
21,11,15425,716,234
21,12,15426,718,252
21,13,15427,716,276
21,14,15428,717,299
21,15,15429,716,321
21,16,15430,715,346
21,17,15431,716,370
21,18,15432,715,393
21,19,15433,716,418
21,20,15434,716,443
21,21,15435,717,468
21,22,15436,718,495
21,23,15437,718,521
21,24,15438,719,547
21,25,15439,719,574
21,26,15440,720,601
21,27,15441,719,628
21,28,15442,721,657
21,29,15443,722,685
21,30,15444,722,714
22,0,16011,709,29
22,1,16012,710,46
22,2,16013,710,62
22,3,16014,712,76
22,4,16015,710,97
22,5,16016,708,113
22,6,16017,709,131
22,7,16018,709,150
22,8,16019,710,169
22,9,16020,711,190
22,10,16021,709,210
22,11,16022,708,230
22,12,16023,710,252
22,13,16024,709,275
22,14,16025,710,298
22,15,16026,710,320
22,16,16027,711,343
22,17,16028,710,365
22,18,16029,710,391
22,19,16030,711,415
22,20,16031,712,441
22,21,16032,712,464
22,22,16033,714,490
22,23,16034,713,517
22,24,16035,714,543
22,25,16036,716,569
22,26,16037,716,595
22,27,16038,715,623
22,28,16039,717,652
22,29,16040,719,680
22,30,16041,720,708
23,0,16448,703,37
23,1,16449,705,56
23,2,16450,705,70
23,3,16451,702,88
23,4,16452,704,106
23,5,16453,706,126
23,6,16454,706,141
23,7,16455,708,161
23,8,16456,708,183
23,9,16457,709,201
23,10,16458,711,223
23,11,16459,711,244
23,12,16460,711,265
23,13,16461,711,288
23,14,16462,712,309
23,15,16463,712,333
23,16,16464,713,356
23,17,16465,712,379
23,18,16466,712,403
23,19,16467,714,427
23,20,16468,714,452
23,21,16469,714,477
23,22,16470,715,503
23,23,16471,716,528
23,24,16472,716,554
23,25,16473,716,581
23,26,16474,718,608
23,27,16475,716,635
23,28,16476,717,663
23,29,16477,719,690
23,30,16478,719,719
24,0,16939,711,26
24,1,16940,711,44
24,2,16941,713,57
24,3,16942,713,72
24,4,16944,711,108
24,5,16945,713,126
24,6,16946,713,144
24,7,16947,712,163
24,8,16948,714,185
24,9,16949,713,203
24,10,16950,713,224
24,11,16951,714,245
24,12,16952,713,265
24,13,16953,715,289
24,14,16954,715,311
24,15,16955,714,335
24,16,16956,716,357
24,17,16957,716,381
24,18,16958,718,405
24,19,16959,719,429
24,20,16960,720,454
24,21,16961,720,479
24,22,16962,723,505
24,23,16963,723,530
24,24,16964,723,556
24,25,16965,725,582
24,26,16966,726,610
24,27,16967,727,636
24,28,16968,728,664
24,29,16969,730,692
25,0,17313,702,34
25,1,17314,702,53
25,2,17315,702,69
25,3,17316,701,86
25,4,17317,700,105
25,5,17318,702,123
25,6,17319,701,143
25,7,17320,701,162
25,8,17321,701,182
25,9,17322,702,202
25,10,17323,700,223
25,11,17324,702,247
25,12,17325,703,267
25,13,17326,705,292
25,14,17327,706,313
25,15,17328,706,336
25,16,17329,707,361
25,17,17330,706,386
25,18,17331,708,411
25,19,17332,710,434
25,20,17333,712,459
25,21,17334,712,485
25,22,17335,714,512
25,23,17336,715,538
25,24,17337,716,564
25,25,17338,718,591
25,26,17339,719,619
25,27,17340,719,647
25,28,17341,722,675
25,29,17342,723,703
26,0,17873,710,27
26,1,17874,710,40
26,2,17875,709,57
26,3,17876,709,74
26,4,17877,708,92
26,5,17878,710,108
26,6,17879,711,125
26,7,17880,710,146
26,8,17881,711,163
26,9,17882,713,184
26,10,17883,713,204
26,11,17884,712,224
26,12,17885,715,245
26,13,17886,713,266
26,14,17887,717,291
26,15,17888,717,311
26,16,17889,716,335
26,17,17890,717,358
26,18,17891,718,380
26,19,17892,720,405
26,20,17893,720,430
26,21,17894,722,456
26,22,17895,722,480
26,23,17896,723,505
26,24,17897,724,531
26,25,17898,723,557
26,26,17899,724,586
26,27,17900,725,612
26,28,17901,725,639
26,29,17902,725,667
26,30,17903,726,695
